Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_1206_3216Metric,136.5504,-65.9384,-90.0,top
C2,100n,C_0603_1608Metric,138.5824,-65.1256,-90.0,top
C3,1u,C_0805_2012Metric,133.35,-69.5452,0.0,top
C4,100n,C_0603_1608Metric,159.96,-89.35,0.0,top
C5,100n,C_0603_1608Metric,139.827,-84.582,0.0,top
C6,10u,CP_EIA-3216-18_Kemet-A,124.587,-72.009,0.0,top
C7,10u,CP_EIA-3216-18_Kemet-A,131.9788,-65.9168,-90.0,top
C8,100n,C_0603_1608Metric,139.0954,-69.7628,0.0,top
C9,3.3p,C_0402_1005Metric,139.5502,-77.4192,0.0,top
C10,1u,C_0805_2012Metric,134.1882,-74.3204,-90.0,top
C11,2.2n,C_0603_1608Metric,158.3412,-85.496,0.0,top
C12,100n,C_0603_1608Metric,154.91,-91.745,-90.0,top
C13,100n,C_0603_1608Metric,157.5912,-87.771,90.0,top
C14,10n,C_0603_1608Metric,152.125,-90.9,180.0,top
C15,10u,CP_EIA-3216-18_Kemet-A,134.214,-65.9168,-90.0,top
C16,100n,C_0603_1608Metric,147.5346,-84.582,180.0,top
D1,LED_R,LED_0805_2012Metric,133.1825,-72.22,0.0,bottom
D2,LED_R,LED_0805_2012Metric,138.45,-75.58,270.0,bottom
D3,LED_R,LED_0805_2012Metric,133.0625,-79.02,0.0,bottom
D4,LED_R,LED_0805_2012Metric,128.0756,-75.6545,90.0,bottom
D5,SFH 2430-Z,Osram_SFH2430,133.2484,-75.6412,0.0,bottom
D6,LED_G,LED_0805_2012Metric,137.5156,-71.782353,45.0,bottom
D7,LED_G,LED_0805_2012Metric,137.507087,-79.172913,135.0,bottom
D8,LED_G,LED_0805_2012Metric,129.23619,-79.47519,45.0,bottom
D9,LED_G,LED_0805_2012Metric,129.0828,-71.9836,315.0,bottom
J1,USB_B_Mini,USB_Mini-B_Wuerth_65100516121_Horizontal,127.067,-80.6,-90.0,top
J2,Display,PinHeader_1x04_P2.54mm_Vertical,111.64,-97.77,0.0,top
Q1,MDD2302,SOT-23,132.8443,-83.4796,0.0,bottom
Q2,MDD2302,SOT-23,133.5525,-67.87,0.0,bottom
R1,10k,R_0603_1608Metric,144.335,-84.582,180.0,top
R3,10k,R_0603_1608Metric,139.3952,-67.564,0.0,top
R4,330,R_0603_1608Metric,133.255,-70.4,180.0,bottom
R5,330,R_0603_1608Metric,140.39,-75.6,90.0,bottom
R6,330,R_0603_1608Metric,133.0523,-80.8992,180.0,bottom
R7,330,R_0603_1608Metric,126.24,-75.69,270.0,bottom
R8,1k,R_0603_1608Metric,144.8054,-72.58,90.0,bottom
R9,36k,R_0805_2012Metric,139.0396,-75.8952,0.0,top
R10,11k,R_0805_2012Metric,136.2202,-71.2733,-90.0,top
R11,330,R_0603_1608Metric,136.2202,-74.5358,-90.0,top
R12,3k3,R_0603_1608Metric,156.1582,-83.93,0.0,top
R13,3k3,R_0603_1608Metric,152.97,-83.93,180.0,top
R14,100,R_0603_1608Metric,138.836637,-70.496637,225.0,bottom
R15,100,R_0603_1608Metric,138.713363,-80.526637,315.0,bottom
R16,100,R_0603_1608Metric,127.926637,-80.896637,225.0,bottom
R17,100,R_0603_1608Metric,127.683363,-70.576637,135.0,bottom
R18,1k,R_0603_1608Metric,144.8054,-75.7682,270.0,bottom
SW1,BootButton,SW_Push_1P1T_XKB_TS-1187A,158.705,-94.53,90.0,top
SW2,ResetButton,SW_Push_1P1T_XKB_TS-1187A,137.541,-88.265,180.0,top
SW3,DisplayButton,SW_Push_1P1T_XKB_TS-1187A,145.59,-88.235,180.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,150.855,-72.6,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,126.2892,-67.2592,180.0,top
U3,SRV05-4,SOT-23-6,133.477,-80.1755,0.0,top
U4,OPA320,SOT-23-5,139.0294,-72.6639,270.0,top
U5,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,154.0884,-87.444,270.0,top
